Metric,Strategy A (Model I),Strategy C (Model II),Winner
Total Return,0.06431723225175179,0.11861811472541639,C ✅
Annualized Return,0.030549374222058612,0.0556053478847951,C ✅
Annualized Volatility,0.04281144287024405,0.08324987232615338,A ✅
Sharpe,0.24641482544824292,0.4276925224017369,C ✅
Max Drawdown,-0.05337771531834479,-0.08108770301981127,C ✅
"IC (weekly, h=1)",,0.13628110318694078,
Alpha (annualized),,0.026778433787866325,
Tracking Error (annualized),,0.08618862823563088,
IR (annualized),,0.31069567222553807,
Breadth BR (trades/yr),,18.5,
IR predicted by FLAM,,0.5861671886827321,
FLAM gap,,-0.27547151645719403,
Implied BR (IR/IC)^2,,5.197555395816961,
