Ticker_1,Ticker_2,gamma_is,M1_nstd,M1_Return,M1_Sharpe,M1_Trades,M2_nstd,M2_Return,M2_Sharpe,M2_Trades,N_IS,Asset_Class
XTH Curncy,XMN Curncy,0.4964707280194324,2.3000000000000003,0.2089582333959742,0.45976907519066074,6,0.6,0.615544948233994,1.7095920709759769,90,1826,crypto
XLM Curncy,XLC Curncy,1.0719480231880942,1.7000000000000002,0.4253718433835982,0.9867746050564803,13,1.2000000000000002,0.8320122933645,1.6133907800823963,93,1826,crypto
XRP Curncy,XMR Curncy,0.8192957772732734,1.6,0.29316106047754237,0.5683045287417359,13,1.1,0.6630813367265701,1.7500199608207392,107,1826,crypto
CL1 Comdty,CO1 Comdty,,0.1,,0.0,0,0.1,,0.0,0,1825,commodities
W 1 Comdty,CT1 Comdty,0.8181510456950754,1.5000000000000002,0.1462868442139514,0.564489049431935,16,0.6,0.2804189285170433,1.9291988098787705,108,1825,commodities
NG1 Comdty,LX1 Comdty,1.9558265788077585,1.1,0.2870357352547528,0.5611290729714263,26,0.5,0.713669013965527,2.140799253292417,132,1825,commodities
GFRN10 Index,GFRN30 Index,1.142569467402903,2.5000000000000004,0.12995562858990853,0.7593343888307981,4,0.6,0.28071714602639214,2.0342216925511067,67,1304,taux
GDBR1 Index,GFRN1 Index,0.9841019285003086,1.2000000000000002,0.06898565581473212,0.1607342819067617,55,0.8,0.08359431770678256,1.2731632769025858,53,1304,taux
RX1 Comdty,IK1 Comdty,0.9261008291097822,1.9000000000000001,0.029616612593619338,0.22160961518582797,6,1.8000000000000003,0.045767557855772814,0.7423813992012651,20,1304,taux
ADI US Equity,KLAC US Equity,0.435125240254041,2.0,0.06841646001220786,0.4442865486195892,9,0.7000000000000001,0.14069106805625284,1.5164071581006275,107,1825,tech
NXPI US Equity,AMAT US Equity,0.6445258956349195,1.8000000000000003,0.09393146970131254,0.5133273271689396,16,0.9,0.2086552270379464,1.8886322201783237,122,1825,tech
TXN US Equity,HUBS US Equity,0.3565744105567176,1.4000000000000001,0.09188301491188347,0.5702670334780916,16,0.6,0.19107425538193332,1.5150188359708678,152,1825,tech
